route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
F100,CWL,F100,JB Sentral  KSL - JB Sentral,F100: JB Sentral  KSL - JB Sentral,3,,FFF300,111111
F200,CWL,F200,Terminal Masai  PPR Seri Alam - Terminal Masai,F200: Terminal Masai  PPR Seri Alam,3,,FFF300,111111
F300,CWL,F300,Terminal Kulai - Taman Putri Kulai,F300: Terminal Kulai - Taman Putri K,3,,FFF300,111111
T10,CWL,T10,JB Sentral - Larkin Sentral - Kota Tinggi,T10: JB Sentral - Larkin Sentral - ,3,,FFF300,111111
T11,CWL,T11,JB Sentral - Taman Seri Austin,T11: JB Sentral - Taman Seri Austin,3,,FFF300,111111
T13,CWL,T13,JB Sentral -  Larkin Sentral,T13: JB Sentral -  Larkin Sentral,3,,FFF300,111111
T14,CWL,T14,JB Sentral  Toppen Tebrau,T14: JB Sentral  Toppen Tebrau,3,,FFF300,111111
T20,CWL,T20,JB Sentral - Terminal Pasir Gudang,T20: JB Sentral - Terminal Pasir Gu,3,,FFF300,111111
T21,CWL,T21,JB Sentral - Permas Jaya,T21: JB Sentral - Permas Jaya,3,,FFF300,111111
T22,CWL,T22,Larkin Sentral - Lotus Kota Masai melalui Permas Jaya,T22: Larkin Sentral - Lotus Kota Ma,3,,FFF300,111111
T30,CWL,T30,JB Sentral - Terminal Kulai,T30: JB Sentral - Terminal Kulai,3,,FFF300,111111
T31,CWL,T31,JB Sentral - Taman Pulai Mutiara,T31: JB Sentral - Taman Pulai Mutia,3,,FFF300,111111
T32,CWL,T32,JB Sentral - Bandar Selesa Jaya,T32: JB Sentral - Bandar Selesa Jay,3,,FFF300,111111
T33,CWL,T33,JB Sentral - Taman Tan Sri Yaacob,T33: JB Sentral - Taman Tan Sri Yaa,3,,FFF300,111111
T40,CWL,T40,Larkin Sentral - Gelang Patah Sentral,T40: Larkin Sentral - Gelang Patah ,3,,FFF300,111111
T42,CWL,T42,Terminal Gelang Patah - Pendas,T42: Terminal Gelang Patah - Pendas,3,,FFF300,111111
T44,CWL,T44,Larkin Sentral - Terminal Feri Puteri Harbour melalui AEON Bukit Indah,T44: Larkin Sentral - Terminal Feri,3,,FFF300,111111
T50,CWL,T50,Larkin Sentral - Pontian,T50: Larkin Sentral - Pontian,3,,FFF300,111111
